type,time,size,battery,pages,iterations,isAnomaly
cloud,619.85,0.78,-22886,14,10,0
cloud,589.49,0.78,-21220,14,10,0
local,532.3,0.78,-81644,14,10,0
local,530.13,0.78,-83707,14,10,0
local,532.26,0.78,-84544,14,10,0
cloud,583.56,0.78,-21732,14,10,0
cloud,625.32,0.78,-23472,14,10,0
cloud,567.98,0.78,-21984,14,10,0
local,530.31,0.78,-82417,14,10,0
local,529.07,0.78,-85552,14,10,0
cloud,599.0,0.78,-23898,14,10,0
cloud,579.44,0.78,-22174,14,10,0
local,527.59,0.78,-84974,14,10,0
cloud,644.79,0.78,-25435,14,10,0
local,528.0,0.78,-85125,14,10,0
local,529.53,0.78,-87259,14,10,0
cloud,553.59,0.78,-18613,14,10,0
local,531.04,0.78,-76284,14,10,0
cloud,583.94,0.78,-21573,14,10,0
cloud,603.84,0.78,-24243,14,10,0
cloud,563.71,0.78,-19960,14,10,0
cloud,635.28,0.78,-22506,14,10,0
cloud,623.37,0.78,-21218,14,10,0
cloud,613.94,0.78,-20955,14,10,0
cloud,639.92,0.78,-21693,14,10,0
local,526.69,0.78,-75972,14,10,0
cloud,573.91,0.78,-19757,14,10,0
local,529.86,0.78,-77263,14,10,0
cloud,593.33,0.78,-20825,14,10,0
cloud,562.94,0.78,-19597,14,10,0
cloud,597.92,0.78,-20098,14,10,0
cloud,602.36,0.78,-20936,14,10,0
cloud,562.76,0.78,-19364,14,10,0
cloud,562.82,0.78,-20068,14,10,0
local,530.0,0.78,-77747,14,10,0
cloud,612.9,0.78,-21375,14,10,0
local,528.51,0.78,-77908,14,10,0
cloud,182.65,0.42,-6784,4,10,0
local,215.51,0.42,-31647,4,10,0
local,214.72,0.42,-32899,4,10,0
cloud,176.44,0.42,-6210,4,10,0
local,252.32,0.42,-35760,4,10,0
local,238.21,0.42,-34020,4,10,0
cloud,262.11,0.42,-10531,4,10,0
cloud,256.94,0.42,-10012,4,10,0
cloud,256.66,0.42,-8787,4,10,0
local,237.89,0.42,-34114,4,10,0
cloud,256.44,0.42,-8893,4,10,0
local,238.09,0.42,-34892,4,10,0
local,238.08,0.42,-35536,4,10,0
local,236.92,0.42,-35261,4,10,0
cloud,256.74,0.42,-8913,4,10,0
cloud,271.51,0.42,-9822,4,10,0
local,238.82,0.42,-35082,4,10,0
cloud,256.46,0.42,-8908,4,10,0
cloud,266.54,0.42,-9313,4,10,0
cloud,257.02,0.42,-9011,4,10,0
cloud,261.97,0.42,-9286,4,10,0
local,237.24,0.42,-34526,4,10,0
cloud,256.35,0.42,-9024,4,10,0
cloud,256.21,0.42,-8693,4,10,0
local,236.76,0.42,-35078,4,10,0
local,238.35,0.42,-35858,4,10,0
cloud,261.23,0.42,-9312,4,10,0
cloud,446.04,0.42,-12968,4,10,0
local,238.51,0.42,-37006,4,10,0
local,239.57,0.42,-35999,4,10,0
cloud,266.71,0.42,-9663,4,10,0
local,237.98,0.42,-35258,4,10,0
cloud,286.77,0.42,-10257,4,10,0
local,87.3,0.3,-13789,4,10,0
local,86.89,0.3,-13809,4,10,0
cloud,115.23,0.3,-4362,4,10,0
cloud,121.15,0.3,-4403,4,10,0
local,87.15,0.3,-13181,4,10,0
local,86.78,0.3,-13303,4,10,0
cloud,110.27,0.3,-4364,4,10,0
local,86.86,0.3,-13229,4,10,0
cloud,106.12,0.3,-4257,4,10,0
local,86.92,0.3,-13297,4,10,0
cloud,109.56,0.3,-4513,4,10,0
local,87.01,0.3,-13326,4,10,0
local,87.12,0.3,-13516,4,10,0
local,86.46,0.3,-13763,4,10,0
cloud,104.31,0.3,-3996,4,10,0
local,86.52,0.3,-13618,4,10,0
cloud,109.69,0.3,-4103,4,10,0
cloud,105.1,0.3,-4284,4,10,0
cloud,109.87,0.3,-4406,4,10,0
local,86.14,0.3,-13366,4,10,0
cloud,108.98,0.3,-4463,4,10,0
local,86.83,0.3,-13643,4,10,0
local,87.04,0.3,-13696,4,10,0
cloud,104.31,0.3,-4150,4,10,0
cloud,103.93,0.3,-4316,4,10,0
local,86.82,0.3,-14232,4,10,0
local,87.17,0.3,-13798,4,10,0
cloud,104.14,0.3,-4543,4,10,0
cloud,104.06,0.3,-4305,4,10,0
local,87.06,0.3,-14113,4,10,0
local,86.6,0.3,-13888,4,10,0
local,86.44,0.3,-14094,4,10,0
cloud,104.15,0.3,-4425,4,10,0
cloud,103.74,0.3,-4258,4,10,0
cloud,103.86,0.3,-4244,4,10,0
local,86.05,0.3,-13773,4,10,0
local,86.74,0.3,-13936,4,10,0
local,86.43,0.3,-14060,4,10,0
cloud,104.09,0.3,-4202,4,10,0
cloud,104.17,0.3,-4023,4,10,0
local,253.84,0.42,-7700,4,10,0
cloud,399.08,0.42,-24378,4,10,1
cloud,449.61,0.42,-15993,4,10,0
cloud,408.79,0.42,-15067,4,10,0
cloud,408.76,0.42,-14673,4,10,0
cloud,301.61,0.42,-26428,4,10,1
local,235.08,0.42,-43320,4,10,0
local,259.76,0.42,-62013,4,10,0
local,247.63,0.42,-52356,4,10,0
cloud,209.63,0.42,-32397,4,10,1
local,222.42,0.42,-34607,4,10,0
cloud,246.54,0.42,-8902,4,10,0
local,223.97,0.42,-33889,4,10,0
cloud,159.9,0.07,-6240,2,10,0
local,51.94,0.07,-8182,2,10,0
cloud,159.92,0.07,-6155,2,10,0
cloud,154.41,0.07,-5790,2,10,0
local,51.4,0.07,-8246,2,10,0
cloud,159.62,0.07,-6013,2,10,0
cloud,154.28,0.07,-5927,2,10,0
local,51.67,0.07,-9269,2,10,0
local,51.51,0.07,-8247,2,10,0
local,51.44,0.07,-8716,2,10,0
local,51.15,0.07,-8213,2,10,0
local,51.36,0.07,-8364,2,10,0
local,51.52,0.07,-9543,2,10,0
local,51.22,0.07,-8362,2,10,0
local,51.29,0.07,-8558,2,10,0
local,51.55,0.07,-8817,2,10,0
local,51.49,0.07,-8641,2,10,0
local,51.38,0.07,-8348,2,10,0
